cellline_name,adr_mes_type,mycn_status,sex,age_years,age,link,,,,
COGN415,,Amplified,,2,2Y,https://www.cellosaurus.org/CVCL_AQ23,,,,
COGN440,,Amplified,,1.5,1Y6M,https://www.cellosaurus.org/CVCL_AQ25,,,,
COGN453,,Not amplified,M,5,5Y,https://www.cellosaurus.org/CVCL_LF59,,,,
KELLY,ADR,Amplified,F,1,1Y,https://www.cellosaurus.org/CVCL_2092,,,,
LAN5,ADR,Amplified,M,0.333333333,4M,https://www.cellosaurus.org/CVCL_0389,,,,
NB1,,Amplified,M,2.25,2Y3M,https://www.cellosaurus.org/CVCL_1440,,,,
NB1643,,Amplified,M,3,3Y,https://www.cellosaurus.org/CVCL_5627,,,,
NB69,ADR,Not amplified,M,1.333333333,1Y4M,https://www.cellosaurus.org/CVCL_1448,,,,
NBLS,ADR,Not amplified,M,3.5,3Y6M,https://www.cellosaurus.org/CVCL_2136,,,,
NGP,ADR,Amplified,M,2.5,2Y6M,https://www.cellosaurus.org/CVCL_2141,,,,
SKNAS,MES,Not amplified,F,6,6Y,https://www.cellosaurus.org/CVCL_1700,,,,
SKNBE2C,ADR,Amplified,M,2.166666667,2Y2M,https://www.cellosaurus.org/CVCL_0529,,,,
SKNFI,ADR,Not amplified,M,11,11Y,https://www.cellosaurus.org/CVCL_1702,,,,
SKNSH,Mixed,Not amplified,F,4,4Y,https://www.cellosaurus.org/CVCL_0531,,,,
CLBGA,ADR,Not amplified,M,4,4Y,https://www.cellosaurus.org/CVCL_9529,,,,
IMR32,ADR,Amplified,M,1.083333333,1Y1M,https://www.cellosaurus.org/CVCL_0346,,,,
SHEP,MES,Not amplified,F,4,4Y,https://www.cellosaurus.org/CVCL_0524,,,,
